id,datetime,sentiment,text,lctext
1303558498291240000,9/09/2020 4:58,0.2,"Donald Trump: If Biden Wins, China Wins. Itâ€˜s as Simple as That https://t.co/xGxy87qJma via @BreitbartNews. Would be a disaster for the USA!","donald trump: if biden wins, china wins. itâ€˜s as simple as that https://t.co/xgxy87qjma via @breitbartnews. would be a disaster for the usa!"
1303562581643350000,9/09/2020 5:15,-0.125,A FAKE story made up by the Democrats in order to save Bidenâ€™s failing campaign. Thanks Zach! https://t.co/557p906pGL,a fake story made up by the democrats in order to save bidenâ€™s failing campaign. thanks zach! https://t.co/557p906pgl
1303665208322410000,9/09/2020 12:03,1,"Salon Owner Nancy Pelosi Attacked Raises over $310,000 https://t.co/uJqI4MRZOY via @BreitbartNews Great!","salon owner nancy pelosi attacked raises over $310,000 https://t.co/ujqi4mrzoy via @breitbartnews great!"
1303665714713240000,9/09/2020 12:05,0.125,Wow! https://t.co/O6UbUJPLs6,wow! https://t.co/o6ubujpls6
1303666424519540000,9/09/2020 12:07,1,Great book! https://t.co/FXTF7BHp2J,great book! https://t.co/fxtf7bhp2j
1303677963200790000,9/09/2020 12:53,-0.077777778,"We will be substantially LOWERING Medicare Premiums and Prescription Drug Prices, bringing them down to levels that were not thought possible!","we will be substantially lowering medicare premiums and prescription drug prices, bringing them down to levels that were not thought possible!"
1303678141173570000,9/09/2020 12:54,0,Thank you! https://t.co/S2kgsPh77l,thank you! https://t.co/s2kgsph77l
1303679528926140000,9/09/2020 12:59,0,Trump nominated for Nobel Peace Prize following Israel-UAE accord https://t.co/hYElcJX9j6 via @nypost,trump nominated for nobel peace prize following israel-uae accord https://t.co/hyelcjx9j6 via @nypost
1303679806794600000,9/09/2020 13:01,0,Thank you Mark! https://t.co/O5fN3fSOmk,thank you mark! https://t.co/o5fn3fsomk
1303687248236490000,9/09/2020 13:30,0,https://t.co/uwP3l4cAvG,https://t.co/uwp3l4cavg
1303688337723720000,9/09/2020 13:34,0,Volunteer to be a Trump Election Poll Watcher. Sign up today! #MakeAmericaGreatAgain https://t.co/aYYsyWFDIw,volunteer to be a trump election poll watcher. sign up today! #makeamericagreatagain https://t.co/ayysywfdiw
1303698549054600000,9/09/2020 14:15,0.333333333,"The United States Navy, or the Department of Defense, will NOT be cancelling its contract with Catholic Priests who serve our men and women in the Armed Forces so well, and with such great compassion &amp; skill. This will no longer be even a point of discussion! @CardinalDolan","the united states navy, or the department of defense, will not be cancelling its contract with catholic priests who serve our men and women in the armed forces so well, and with such great compassion &amp; skill. this will no longer be even a point of discussion! @cardinaldolan"
1303732514440250000,9/09/2020 16:30,0,Congratulations Matt @Mowers! https://t.co/zvQatCFYk2,congratulations matt @mowers! https://t.co/zvqatcfyk2
1303733001919040000,9/09/2020 16:32,0,Congratulations @CorkyForSenate! https://t.co/NQk9w5TKde,congratulations @corkyforsenate! https://t.co/nqk9w5tkde
1303765212789690000,9/09/2020 18:40,0,I will be announcing a list of future potential Supreme Court JusticesÂ at 3:30Â P.M. Eastern from the Diplomatic Reception Room of the White House.,i will be announcing a list of future potential supreme court justicesâ at 3:30â p.m. eastern from the diplomatic reception room of the white house.
1303787765142870000,9/09/2020 20:10,0,https://t.co/RGnqBeDDjC https://t.co/iRxBXnfCtH,https://t.co/rgnqbeddjc https://t.co/irxbxnfcth
1303797159230400000,9/09/2020 20:47,0.3125,Today we join millions of baseball fans and Puerto Ricans in celebrating Roberto Clementeâ€™s life and his immense contributions to baseball and equality. He was one of my all-time favorite players â€“ Roberto had everything! #ClementeDay #Retire21 https://t.co/2Hd0ePPUM9,today we join millions of baseball fans and puerto ricans in celebrating roberto clementeâ€™s life and his immense contributions to baseball and equality. he was one of my all-time favorite players â€“ roberto had everything! #clementeday #retire21 https://t.co/2hd0eppum9
1303831587524670000,9/09/2020 23:04,-0.046875,"The failed former Governor of Michigan, RINO Rick Snyder, who was responsible for the Flint Water Disaster (and I let him know it!), is now endorsing Sleepy Joe Biden, who doesnâ€™t have a clue! Snyder, whose political career was ruined by Flint, hurt a lot of people in Michigan...","the failed former governor of michigan, rino rick snyder, who was responsible for the flint water disaster (and i let him know it!), is now endorsing sleepy joe biden, who doesnâ€™t have a clue! snyder, whose political career was ruined by flint, hurt a lot of people in michigan..."
1303831588598410000,9/09/2020 23:04,-0.21875,"...Iâ€™ll take the Endorsement of Law Enforcement all over the Country, and Joe can have the RINOâ€™S. This Snyder mess was made during the OBiden era - no wonder theyâ€™re friends!","...iâ€™ll take the endorsement of law enforcement all over the country, and joe can have the rinoâ€™s. this snyder mess was made during the obiden era - no wonder theyâ€™re friends!"
1303832551241410000,9/09/2020 23:07,0.09,"On top of a lie made up by a low-life â€œreporterâ€, who is known for disinformation, the Democrats have taken his false words and put them into a TV commercial. We now have 21 witnesses stating that the story is a BIG LIE. Even Biden admits this may not be true...","on top of a lie made up by a low-life â€œreporterâ€, who is known for disinformation, the democrats have taken his false words and put them into a tv commercial. we now have 21 witnesses stating that the story is a big lie. even biden admits this may not be true..."
1303832552243970000,9/09/2020 23:07,-0.455,"...Secret Service would not allow the trip to the cemetery based on very bad weather and security concerns. Now these low-life Biden handlers are making commercials of this fictional statement, with no proof, and think they can get away with it...","...secret service would not allow the trip to the cemetery based on very bad weather and security concerns. now these low-life biden handlers are making commercials of this fictional statement, with no proof, and think they can get away with it..."
1303832553296710000,9/09/2020 23:07,0,...These are horrendous people that we must defeat on November 3rd!,...these are horrendous people that we must defeat on november 3rd!
1303833658328050000,9/09/2020 23:12,0.5,Will be interviewed by @SeanHannity tonight at 9:00 P.M. Eastern on @FoxNews. Enjoy!,will be interviewed by @seanhannity tonight at 9:00 p.m. eastern on @foxnews. enjoy!
1303835269343340000,9/09/2020 23:18,0.6,"These are my real words about our GREAT HEROES, not made up lies by the enemy. THANK YOU and God Bless You All! https://t.co/oFgQXzpJHU","these are my real words about our great heroes, not made up lies by the enemy. thank you and god bless you all! https://t.co/ofgqxzpjhu"
1303843243277400000,9/09/2020 23:50,-0.166666667,Fake News asks why I bring up Booker. Itâ€™s because Biden supports Bookerâ€™s bill that forces federal control of local zoning and low income housing in suburbs...,fake news asks why i bring up booker. itâ€™s because biden supports bookerâ€™s bill that forces federal control of local zoning and low income housing in suburbs...
1303843244451720000,9/09/2020 23:50,-0.125,"...If in doubt, ask why the bill withholds $12 billion in highway funds until local authorities agree to federal control? I will protect the suburbs. Biden will destroy the suburbs!","...if in doubt, ask why the bill withholds $12 billion in highway funds until local authorities agree to federal control? i will protect the suburbs. biden will destroy the suburbs!"
1303860823975170000,10/09/2020 1:00,-0.333333333,"For years Fake stories and investigations, then the phony Russia, Russia, Russia HOAX, next Ukraine and the failed Impeachment, now the crummy Atlantic Magazineâ€™s MADE UP STORY, and lastly, the political hit job by rapidly fading Bob Woodward and his boring book. It never ends!","for years fake stories and investigations, then the phony russia, russia, russia hoax, next ukraine and the failed impeachment, now the crummy atlantic magazineâ€™s made up story, and lastly, the political hit job by rapidly fading bob woodward and his boring book. it never ends!"
1303861737507170000,10/09/2020 1:03,0,Will be interviewed by @seanhannity on @FoxNews - NOW!,will be interviewed by @seanhannity on @foxnews - now!
1303864224486220000,10/09/2020 1:13,0,https://t.co/iawUwB3TC1,https://t.co/iawuwb3tc1
1303876803757510000,10/09/2020 2:03,0,Thank you @LouDobbs! https://t.co/YIjrRTlSgJ,thank you @loudobbs! https://t.co/yijrrtlsgj
1303877225444450000,10/09/2020 2:05,0,https://t.co/jgrsEliwBf,https://t.co/jgrseliwbf
1303877584409720000,10/09/2020 2:06,0.525,"Great job @ChuckGrassley, you really get it! https://t.co/jTIzPX8ydf","great job @chuckgrassley, you really get it! https://t.co/jtizpx8ydf"
1303878462726450000,10/09/2020 2:10,0,Thank you @LizMacDonaldFOX &amp; @KristinBTate! https://t.co/26Eb9CsaUA,thank you @lizmacdonaldfox &amp; @kristinbtate! https://t.co/26eb9csaua
1303880770503800000,10/09/2020 2:19,0,LET'S BRING THEM HOME! @TuckerCarlson https://t.co/CKvEZGiDIY,let's bring them home! @tuckercarlson https://t.co/ckvezgidiy
1303881049567640000,10/09/2020 2:20,0,https://t.co/lwjap4o6jU,https://t.co/lwjap4o6ju
1303884257182510000,10/09/2020 2:33,0,You donâ€™t want to miss @SeanHannityâ€™s segment with @KarlRove. Thank you! https://t.co/579SrlBxyP,you donâ€™t want to miss @seanhannityâ€™s segment with @karlrove. thank you! https://t.co/579srlbxyp
1303892308191070000,10/09/2020 3:05,0,https://t.co/7KHLHOtF5p,https://t.co/7khlhotf5p
1303894062068630000,10/09/2020 3:12,0,https://t.co/8mPfFSXs0q,https://t.co/8mpffsxs0q
1304033005191690000,10/09/2020 12:24,-0.13125,"Fake News is at it again! They will take any statement from me, no matter how proper or well delivered, &amp;  systematically, in complete conjunction with all of their allies, dismantle it. With Biden, they only give him softballs, and let him read the answers from a teleprompter!","fake news is at it again! they will take any statement from me, no matter how proper or well delivered, &amp;  systematically, in complete conjunction with all of their allies, dismantle it. with biden, they only give him softballs, and let him read the answers from a teleprompter!"
1304033430062200000,10/09/2020 12:26,0.246753247,"New York City indoor dining to reopen on September 30, at 25% capacity. A step in the right direction, but should go faster!","new york city indoor dining to reopen on september 30, at 25% capacity. a step in the right direction, but should go faster!"
